split,global_index,inchi_key,smiles,formula,target_value
train,5096,BVNMUJGDMFVNJI-UHFFFAOYSA,O=[N+]([O-])c1cccc(N2c3ccccc3N(c3ccc([N+](=O)[O-])nc3)c3ccccc32)c1,,1.38
train,5306,PDDUZBPPJDSDKG-UHFFFAOYSA,CC1(C)c2cc(-c3ccc(-c4ccccc4)cc3)ccc2N(c2ccc(-c3ccc(S)nc3)cc2)c2ccc(-c3ccc(-c4nncnn4)cc3)cc21,,0.76
train,3250,WGDDFGZZOJPUAD-OWOJBTEDSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(C=COC(F)(F)F)=CC2=O,,2.54
train,3088,UWVFJVLIKULDLD-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C=C(c1ncc(Cl)s1)C2=O,,2.19
train,5463,NOLGJNFSYIHWSC-UHFFFAOYSA,C=NCc1ccc2c(c1)oc(=O)c1c(-c3csc(C#N)c3)c3ccccc3cc12,,1.59
train,2693,RLJHKCARDDIFED-UHFFFAOYSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(c1nc(OC(F)(F)F)co1)=CC2=O,,2.48
train,731,GCIILPOYASDANN-UPHRSURJSA-N,N#Cc1nc2c(nc1C#N)C(=O)C(C=CO)=CC2=O,,2.05
train,885,GWXKWIKSTSQULJ-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C(c1nnc(C(F)(F)F)nn1)=C(c1nnc(C(F)(F)F)nn1)C2=O,,2.97
train,4923,WVQABVSPOWSGEN-BUHFOSPRSA-N,O=[N+]([O-])C#Cc1ccc(N=Nc2ccc(C#C[N+](=O)[O-])s2)s1,,1.89
train,986,HLCJAZMHOKUERA-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1cc([N+](=O)[O-])c[nH]1)=CC2=O,,2.21
train,1575,KCYWLWBWFCHWBM-UHFFFAOYSA-N,N#Cc1ccc2c(n1)C(=O)C=C(c1ccc([N+](=O)[O-])s1)C2=O,,2.72
train,806,GODADXSLCDIGEK-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1ccccn1)=CC2=O,,2.65
train,4948,XFIMZRMDWTWXHX-BYYHNAKLSA-N,Fc1ccc(-c2ccc(N=Nc3ccc(-c4ccc(F)cc4)cc3)cc2)cc1,,1.46
train,3033,URCZGYYGXFNESR-HSFFGMMNSA-N,N#Cc1cnc2c(c1)C(=O)C(C=CCl)=C(C=CCl)C2=O,,2.15
train,2850,SDCGFHVLXZPZCF-UHFFFAOYSA-N,CC(O)=Nc1nnc(C2=C(c3nnc(N=C(C)O)nn3)C(=O)c3ncccc3C2=O)nn1,,2.03
train,3274,WJRGERIUDWQADE-UHFFFAOYSA-N,CC(O)=Nc1cn(C2=C(n3cc(N=C(C)O)nn3)C(=O)c3ncccc3C2=O)nn1,,2.11
train,3872,ZRWICXYIYVJIIT-UHFFFAOYSA-N,N#Cc1cnc2c(c1)C(=O)C(c1ccc([N+](=O)[O-])s1)=C(c1ccc([N+](=O)[O-])s1)C2=O,,2.32
train,2038,MXROQFPNEGIXPA-UHFFFAOYSA-N,N#Cc1csc(C2=C(c3nc(C#N)cs3)C(=O)c3nccnc3C2=O)n1,,2.46
train,1660,KNFXKCXMBIXPHW-UHFFFAOYSA-N,CC1=CC=C(C2=CC(=O)c3nc(C#N)c(C#N)nc3C2=O)C1,,1.46
train,3624,XYDYVGHMFGOHCX-UHFFFAOYSA-N,N#Cc1cc(C#N)c2c(n1)C(=O)C=C(c1ccco1)C2=O,,2.02
train,3355,WSIXRANRRPNCHG-UHFFFAOYSA-N,COc1ccc2c(n1)C(=O)C=C(C1=CC=C(C)S1(=O)=O)C2=O,,2.27
train,1960,MOGHIDNGZMOCSD-UHFFFAOYSA-N,CC(O)=Nc1ccc(C2=CC(=O)c3nc(C#N)ccc3C2=O)cc1,,1.61
train,2762,RTMVQCNBWYWIQK-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1cnc(O)[nH]1)=CC2=O,,1.73
train,267,BUJQGRDCOJSWDR-UHFFFAOYSA-N,N#Cc1cnc2c(n1)C(=O)C(c1cc(O)c[nH]1)=CC2=O,,1.34
train,2505,PDQYATMWBOGKIT-UHFFFAOYSA-N,N#Cc1cnc2c(c1C#N)C(=O)C(c1cnc(Cl)[nH]1)=C(c1cnc(Cl)[nH]1)C2=O,,1.64
train,1548,JZYIFXICBKHXHF-UHFFFAOYSA-N,N#Cc1cc2c(nc1C#N)C(=O)C=C(c1nncnn1)C2=O,,2.46
train,4758,SDMPXCJIDHXODL-UHFFFAOYSA-N,FC(F)(F)Oc1ccc(C2(OC(F)(F)F)N=N2)s1,,2.09
